FIPS,State Name,State,2016 Food Insecurity Rate,# of Food Insecure Persons in 2016 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2016 Child Food Insecurity Rate,# of Food Insecure Children in 2016,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2016 Cost Per Meal,2016 Weighted Annual Food Budget Shortfall
1,Alabama,AL,16.50%,"800,620",130%,SNAP,185%,Other Nutrition Program,52.80%,16.30%,30.90%,22.50%,"247,140",71%,29%,$2.97 ,"$406,639,000 "
2,Alaska,AK,13.40%,"99,650",130%,SNAP,185%,Other Nutrition Program,42.60%,15.10%,42.30%,18.60%,"34,800",58%,42%,$3.44 ,"$58,525,000 "
4,Arizona,AZ,14.90%,"1,033,590",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",66.80%,,33.20%,22.70%,"370,960",68%,32%,$2.87 ,"$506,275,000 "
5,Arkansas,AR,17.20%,"515,270",130%,SNAP,185%,Other Nutrition Program,54.00%,15.90%,30.00%,23.20%,"163,800",72%,28%,$2.80 ,"$246,776,000 "
6,California,CA,11.70%,"4,574,710",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",76.90%,,23.10%,19.00%,"1,731,270",67%,33%,$3.16 ,"$2,473,458,000 "
8,Colorado,CO,11.30%,"627,480",130%,SNAP,185%,Other Nutrition Program,47.20%,14.60%,38.30%,15.10%,"190,780",61%,39%,$3.19 ,"$342,520,000 "
9,Connecticut,CT,11.60%,"414,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.70%,,43.30%,15.60%,"117,380",63%,37%,$3.19 ,"$226,249,000 "
10,Delaware,DE,12.00%,"114,370",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.30%,,35.70%,16.80%,"34,240",64%,36%,$3.12 ,"$60,902,000 "
11,District of Columbia,DC,12.40%,"84,380",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.20%,,27.80%,22.20%,"26,800",69%,31%,$3.67 ,"$52,881,000 "
12,Florida,FL,13.90%,"2,871,650",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.30%,,27.70%,20.70%,"857,150",69%,31%,$3.17 ,"$1,557,049,000 "
