FIPS,State Name,State,2017 Food Insecurity Rate,# of Food Insecure Persons in 2017,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2017 Child Food Insecurity Rate,# of Food Insecure Children in 2017,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2016,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2016,2017 Cost Per Meal,2017 Weighted Annual Food Budget Shortfall
1,Alabama,AL,16.30%,"795,760",130%,SNAP,185%,Other Nutrition Program,51.90%,16.10%,32.00%,22.30%,"243,880",72%,28%,$2.98 ,"$404,180,000 "
2,Alaska,AK,13.60%,"100,310",130%,SNAP,185%,Other Nutrition Program,44.50%,15.20%,40.40%,18.70%,"34,690",59%,41%,$3.37 ,"$57,721,000 "
4,Arizona,AZ,14.00%,"979,170",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.80%,,35.20%,21.30%,"348,550",67%,33%,$2.89 ,"$482,358,000 "
5,Arkansas,AR,17.30%,"518,960",130%,SNAP,185%,Other Nutrition Program,50.60%,17.20%,32.20%,23.60%,"167,440",70%,30%,$2.79 ,"$246,939,000 "
6,California,CA,11.00%,"4,354,400",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.30%,,24.70%,18.10%,"1,638,430",63%,37%,$3.20 ,"$2,381,146,000 "
8,Colorado,CO,10.60%,"596,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.20%,,34.80%,14.00%,"177,360",59%,41%,$3.24 ,"$329,732,000 "
9,Connecticut,CT,11.30%,"406,810",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",56.20%,,43.80%,15.50%,"115,240",63%,37%,$3.27 ,"$227,321,000 "
10,Delaware,DE,12.20%,"117,320",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.00%,,34.00%,17.00%,"34,750",69%,31%,$3.12 ,"$62,450,000 "
11,District of Columbia,DC,11.00%,"76,550",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.20%,,27.80%,21.20%,"26,450",71%,29%,$3.95 ,"$51,543,000 "
12,Florida,FL,13.40%,"2,806,770",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",72.30%,,27.70%,20.40%,"854,880",68%,32%,$3.22 ,"$1,540,091,000 "
13,Georgia,GA,14.40%,"1,501,680",130%,SNAP,185%,Other Nutrition Program,51.00%,16.10%,32.90%,20.00%,"503,370",68%,32%,$2.93 ,"$749,671,000 "
15,Hawaii,HI,11.30%,"161,270",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",51.80%,,48.20%,17.50%,"53,540",43%,57%,$3.30 ,"$90,737,000 "
16,Idaho,ID,12.30%,"210,420",130%,SNAP,185%,Other Nutrition Program,45.70%,18.10%,36.20%,15.80%,"69,920",65%,35%,$2.94 ,"$105,626,000 "
17,Illinois,IL,10.90%,"1,395,970",165%,SNAP,185%,Other Nutrition Program,62.60%,2.50%,34.90%,15.70%,"453,260",66%,34%,$2.80 ,"$668,124,000 "
18,Indiana,IN,13.30%,"887,070",130%,SNAP,185%,Other Nutrition Program,51.70%,14.10%,34.10%,17.40%,"273,380",67%,33%,$2.62 ,"$396,443,000 "
19,Iowa,IA,10.90%,"341,890",160%,SNAP,185%,Other Nutrition Program,52.40%,4.90%,42.70%,15.30%,"111,520",58%,42%,$2.70 ,"$157,367,000 "
20,Kansas,KS,12.70%,"370,860",130%,SNAP,185%,Other Nutrition Program,44.70%,15.40%,39.90%,18.30%,"130,210",63%,37%,$2.86 ,"$181,199,000 "
