FIPS,State Name,State,2014 Food Insecurity Rate,# of Food Insecure Persons in 2014 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2014 Child Food Insecurity Rate,# of Food Insecure Children in 2014,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2014,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2014,2014 Cost Per Meal,2014 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.80%,"911,440",130%,SNAP,185%,Other Nutrition Program,53.30%,16.30%,30.40%,26.40%,"292,330",73%,27%,$2.90 ,"$466,367,000 "
2,Alaska,AK,14.40%,"105,770",130%,SNAP,185%,Other Nutrition Program,44.50%,15.10%,40.40%,20.40%,"38,080",58%,42%,$3.33 ,"$62,181,000 "
4,Arizona,AZ,17.10%,"1,150,650",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",67.00%,,33.00%,26.80%,"434,840",68%,32%,$2.78 ,"$563,767,000 "
5,Arkansas,AR,19.10%,"567,250",130%,SNAP,185%,Other Nutrition Program,53.40%,16.50%,30.20%,26.30%,"185,660",72%,28%,$2.72 ,"$272,668,000 "
6,California,CA,13.90%,"5,401,770",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",78.60%,,21.40%,22.90%,"2,099,120",68%,32%,$3.04 ,"$2,896,128,000 "
8,Colorado,CO,12.90%,"692,840",130%,SNAP,185%,Other Nutrition Program,47.70%,15.60%,36.70%,18.10%,"226,350",64%,36%,$3.04 ,"$372,418,000 "
9,Connecticut,CT,13.10%,"472,540",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",55.70%,,44.30%,18.10%,"140,290",62%,38%,$3.06 ,"$254,876,000 "
10,Delaware,DE,12.60%,"117,970",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",64.30%,,35.70%,17.80%,"36,380",67%,33%,$2.99 ,"$62,194,000 "
11,District of Columbia,DC,13.80%,"90,900",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.10%,,26.90%,25.90%,"29,820",68%,32%,$3.49 ,"$56,025,000 "
12,Florida,FL,16.20%,"3,227,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.60%,,25.40%,24.90%,"1,007,870",70%,30%,$3.07 ,"$1,749,270,000 "
13,Georgia,GA,17.70%,"1,783,450",130%,SNAP,185%,Other Nutrition Program,53.90%,15.70%,30.40%,26.10%,"650,970",70%,30%,$2.84 ,"$895,589,000 "
15,Hawaii,HI,13.70%,"194,610",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",57.00%,,43.00%,22.00%,"67,690",47%,53%,$3.10 ,"$106,454,000 "
16,Idaho,ID,14.70%,"241,080",130%,SNAP,185%,Other Nutrition Program,49.20%,18.90%,31.90%,19.30%,"83,110",67%,33%,$2.86 ,"$121,650,000 "
17,Illinois,IL,12.90%,"1,658,280",165%,SNAP,185%,Other Nutrition Program,64.10%,3.00%,33.00%,19.50%,"583,000",67%,33%,$2.64 ,"$771,485,000 "
18,Indiana,IN,15.30%,"1,009,710",130%,SNAP,185%,Other Nutrition Program,53.60%,14.40%,32.00%,21.20%,"335,410",70%,30%,$2.56 ,"$456,939,000 "
19,Iowa,IA,12.40%,"384,830",160%,SNAP,185%,Other Nutrition Program,53.00%,5.00%,42.00%,17.80%,"129,270",57%,43%,$2.62 ,"$177,919,000 "
20,Kansas,KS,14.20%,"413,560",130%,SNAP,185%,Other Nutrition Program,48.10%,15.00%,36.80%,21.30%,"153,940",66%,34%,$2.77 ,"$202,219,000 "
21,Kentucky,KY,16.80%,"743,310",130%,SNAP,185%,Other Nutrition Program,57.30%,12.90%,29.80%,21.90%,"222,380",75%,25%,$2.64 ,"$346,164,000 "
22,Louisiana,LA,17.30%,"804,500",130%,SNAP,185%,Other Nutrition Program,56.60%,12.90%,30.50%,24.50%,"272,760",70%,30%,$2.82 ,"$399,842,000 "
23,Maine,ME,15.30%,"202,910",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.70%,,39.30%,23.30%,"60,010",64%,36%,$3.27 ,"$117,204,000 "
24,Maryland,MD,12.70%,"760,300",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",61.20%,,38.80%,18.30%,"247,560",59%,41%,$2.94 ,"$395,238,000 "
25,Massachusetts,MA,11.10%,"745,470",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.70%,,33.30%,15.10%,"210,050",63%,37%,$3.17 ,"$417,299,000 "
26,Michigan,MI,15.70%,"1,559,020",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.80%,,25.20%,19.70%,"437,100",68%,32%,$2.70 ,"$744,203,000 "
27,Minnesota,MN,10.40%,"568,770",165%,SNAP,185%,Other Nutrition Program,58.90%,3.30%,37.70%,15.20%,"195,660",65%,35%,$2.88 ,"$288,846,000 "
28,Mississippi,MS,22.30%,"667,040",130%,SNAP,185%,Other Nutrition Program,55.10%,15.30%,29.50%,27.40%,"200,600",73%,27%,$2.88 ,"$338,917,000 "
29,Missouri,MO,16.80%,"1,019,350",130%,SNAP,185%,Other Nutrition Program,50.00%,16.50%,33.50%,20.80%,"289,210",66%,34%,$2.67 ,"$480,486,000 "
30,Montana,MT,13.60%,"139,140",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.60%,,30.40%,20.10%,"45,110",63%,37%,$2.83 ,"$69,518,000 "
31,Nebraska,NE,13.00%,"245,160",130%,SNAP,185%,Other Nutrition Program,43.40%,13.30%,43.30%,19.70%,"92,230",61%,39%,$2.75 ,"$118,963,000 "
32,Nevada,NV,14.90%,"423,210",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",77.80%,,22.20%,24.30%,"161,260",68%,32%,$2.90 ,"$216,359,000 "
33,New Hampshire,NH,10.50%,"139,730",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",51.10%,,48.90%,15.50%,"41,350",55%,45%,$3.10 ,"$76,411,000 "
34,New Jersey,NJ,11.80%,"1,051,880",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.00%,,36.00%,16.80%,"338,690",65%,35%,$2.98 ,"$552,797,000 "
35,New Mexico,NM,17.20%,"358,770",165%,SNAP,185%,Other Nutrition Program,71.00%,3.80%,25.10%,27.20%,"136,070",75%,25%,$2.77 ,"$175,620,000 "
36,New York,NY,13.50%,"2,672,460",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",75.10%,,24.90%,20.90%,"884,170",68%,32%,$2.97 ,"$1,400,548,000 "
37,North Carolina,NC,17.70%,"1,764,800",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",74.40%,,25.60%,24.60%,"564,240",72%,28%,$2.81 ,"$875,736,000 "
38,North Dakota,ND,8.00%,"59,320",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",59.60%,,40.40%,11.40%,"19,070",55%,45%,$2.92 ,"$30,599,000 "
39,Ohio,OH,16.80%,"1,943,340",130%,SNAP,185%,Other Nutrition Program,52.30%,12.90%,34.70%,23.80%,"628,580",67%,33%,$2.66 ,"$911,848,000 "
40,Oklahoma,OK,16.80%,"652,090",130%,SNAP,185%,Other Nutrition Program,49.90%,15.60%,34.50%,23.80%,"226,390",65%,35%,$2.78 ,"$320,603,000 "
41,Oregon,OR,15.20%,"605,100",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",74.00%,,26.00%,24.50%,"210,290",68%,32%,$2.84 ,"$303,833,000 "
42,Pennsylvania,PA,13.80%,"1,760,450",160%,SNAP,185%,Other Nutrition Program,57.70%,5.30%,37.00%,19.30%,"521,750",65%,35%,$2.88 ,"$895,714,000 "
44,Rhode Island,RI,14.00%,"147,460",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",63.90%,,36.10%,20.30%,"43,210",70%,30%,$2.93 ,"$76,405,000 "
45,South Carolina,SC,16.40%,"794,590",130%,SNAP,185%,Other Nutrition Program,56.40%,15.90%,27.70%,23.40%,"253,340",71%,29%,$2.80 ,"$393,252,000 "
46,South Dakota,SD,12.40%,"105,880",130%,SNAP,185%,Other Nutrition Program,46.00%,13.20%,40.80%,18.50%,"39,030",63%,37%,$2.92 ,"$54,553,000 "
47,Tennessee,TN,16.90%,"1,103,580",130%,SNAP,185%,Other Nutrition Program,56.00%,16.50%,27.50%,24.00%,"357,920",72%,28%,$2.89 ,"$562,556,000 "
48,Texas,TX,17.00%,"4,578,670",165%,SNAP,185%,Other Nutrition Program,63.60%,4.50%,31.90%,25.60%,"1,821,820",67%,33%,$2.53 ,"$2,045,312,000 "
49,Utah,UT,14.20%,"416,670",130%,SNAP,185%,Other Nutrition Program,43.80%,15.90%,40.40%,18.20%,"164,440",55%,45%,$2.78 ,"$204,334,000 "
50,Vermont,VT,13.50%,"84,870",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",60.30%,,39.70%,19.10%,"23,310",59%,41%,$3.28 ,"$49,174,000 "
51,Virginia,VA,11.80%,"983,880",130%,SNAP,185%,Other Nutrition Program,48.60%,16.90%,34.50%,16.00%,"299,050",64%,36%,$3.01 ,"$523,149,000 "
53,Washington,WA,13.70%,"970,150",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",69.40%,,30.60%,21.00%,"337,320",61%,39%,$2.90 ,"$497,509,000 "
54,West Virginia,WV,15.30%,"282,900",130%,SNAP,185%,Other Nutrition Program,51.40%,13.70%,34.80%,21.50%,"82,220",68%,32%,$2.68 ,"$133,864,000 "
