FIPS,State Name,State,2012 Food Insecurity Rate,# of Food Insecure Persons in 2012 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2012 Child Food Insecurity Rate,# of Food Insecure Children in 2012,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2012,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2012,2012 Cost Per Meal,2012 Weighted Annual Food Budget Shortfall
1,Alabama,AL,18.60%,"895,430",130%,SNAP,185%,Other Nutrition Program,53.30%,18.50%,28.20%,25.80%,"289,960",74%,26%,$2.75 ,"$430,525,000 "
2,Alaska,AK,14.00%,"102,180",130%,SNAP,185%,Other Nutrition Program,44.70%,18.20%,37.10%,19.60%,"36,650",61%,39%,$3.11 ,"$55,653,000 "
4,Arizona,AZ,17.80%,"1,169,570",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.30%,0.00%,30.70%,28.20%,"456,760",71%,29%,$2.57 ,"$526,731,000 "
5,Arkansas,AR,19.40%,"573,030",130%,SNAP,185%,Other Nutrition Program,54.30%,16.60%,29.00%,27.70%,"196,950",73%,27%,$2.60 ,"$260,570,000 "
6,California,CA,16.20%,"6,179,590",130%,SNAP,185%,Other Nutrition Program,58.10%,15.80%,26.10%,26.30%,"2,426,510",71%,29%,$2.80 ,"$3,032,920,000 "
8,Colorado,CO,14.60%,"755,730",130%,SNAP,185%,Other Nutrition Program,48.20%,16.30%,35.50%,21.30%,"262,110",64%,36%,$2.84 ,"$375,542,000 "
9,Connecticut,CT,13.90%,"498,460",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",54.30%,0.00%,45.70%,19.60%,"155,380",57%,43%,$2.92 ,"$255,104,000 "
10,Delaware,DE,13.00%,"119,500",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",65.40%,0.00%,34.60%,18.30%,"37,430",74%,26%,$2.89 ,"$60,381,000 "
11,District of Columbia,DC,14.50%,"91,540",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",70.40%,0.00%,29.60%,28.00%,"30,600",68%,32%,$3.77 ,"$60,483,000 "
12,Florida,FL,17.90%,"3,448,220",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.50%,0.00%,26.50%,27.60%,"1,103,850",70%,30%,$2.88 ,"$1,737,045,000 "
