FIPS,State Name,State,2015 Food Insecurity Rate,# of Food Insecure Persons in 2015 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2015 Child Food Insecurity Rate,# of Food Insecure Children in 2015,% food insecure Children in HH w/HH Incomes Below 185 FPL in 2015,% food insecure Children in HH w/HH Incomes Above 185 FPL in 2015,2015 Cost Per Meal,2015 Weighted Annual Food Budget Shortfall
1,Alabama,AL,17.70%,"859,380",130%,SNAP,185%,Other Nutrition Program,53.90%,17.90%,28.20%,24.10%,"267,040",73%,27%,$2.92 ,"$450,670,000 "
2,Alaska,AK,13.90%,"102,670",130%,SNAP,185%,Other Nutrition Program,43.70%,17.50%,38.90%,19.60%,"36,560",61%,39%,$3.41 ,"$62,743,000 "
4,Arizona,AZ,15.80%,"1,078,190",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",69.30%,,30.70%,24.00%,"389,850",69%,31%,$2.81 ,"$543,084,000 "
5,Arkansas,AR,18.40%,"549,070",130%,SNAP,185%,Other Nutrition Program,55.70%,17.40%,26.90%,25.00%,"176,710",72%,28%,$2.72 ,"$267,757,000 "
6,California,CA,12.50%,"4,885,220",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",77.00%,,23.00%,20.70%,"1,890,050",68%,32%,$3.14 ,"$2,750,484,000 "
8,Colorado,CO,12.20%,"665,220",130%,SNAP,185%,Other Nutrition Program,46.70%,17.00%,36.40%,16.50%,"207,650",63%,37%,$3.09 ,"$368,403,000 "
9,Connecticut,CT,12.20%,"437,530",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",57.80%,,42.20%,16.70%,"127,400",60%,40%,$3.12 ,"$244,830,000 "
10,Delaware,DE,12.10%,"114,060",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",66.60%,,33.40%,17.30%,"35,310",70%,30%,$3.04 ,"$62,102,000 "
11,District of Columbia,DC,12.60%,"84,540",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.70%,,26.30%,23.60%,"27,800",72%,28%,$3.61 ,"$54,660,000 "
12,Florida,FL,15.10%,"3,056,280",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",73.30%,,26.70%,22.70%,"930,730",71%,29%,$3.11 ,"$1,702,052,000 "
13,Georgia,GA,16.20%,"1,659,710",130%,SNAP,185%,Other Nutrition Program,54.20%,18.70%,27.10%,23.20%,"580,830",71%,29%,$2.88 ,"$858,223,000 "
15,Hawaii,HI,12.80%,"182,600",200%,"SNAP, Other Nutrition Programs",200%,"SNAP, Other Nutrition Programs",53.70%,,46.30%,20.10%,"62,600",44%,56%,$3.23 ,"$105,633,000 "
16,Idaho,ID,14.00%,"232,180",130%,SNAP,185%,Other Nutrition Program,48.20%,22.50%,29.40%,17.60%,"76,070",67%,33%,$2.92 ,"$121,760,000 "
17,Illinois,IL,11.70%,"1,506,060",165%,SNAP,185%,Other Nutrition Program,63.80%,5.60%,30.70%,17.30%,"513,270",68%,32%,$2.72 ,"$735,098,000 "
18,Indiana,IN,14.40%,"950,720",130%,SNAP,185%,Other Nutrition Program,53.80%,17.20%,29.10%,19.10%,"301,990",72%,28%,$2.61 ,"$445,335,000 "
19,Iowa,IA,12.00%,"376,240",160%,SNAP,185%,Other Nutrition Program,53.80%,7.90%,38.30%,16.70%,"121,550",60%,40%,$2.67 ,"$179,954,000 "
20,Kansas,KS,13.20%,"385,000",130%,SNAP,185%,Other Nutrition Program,48.40%,17.00%,34.60%,19.20%,"138,480",65%,35%,$2.84 ,"$195,772,000 "
21,Kentucky,KY,15.80%,"699,590",130%,SNAP,185%,Other Nutrition Program,57.60%,15.10%,27.30%,20.00%,"202,050",74%,26%,$2.67 ,"$334,999,000 "
22,Louisiana,LA,16.90%,"789,330",130%,SNAP,185%,Other Nutrition Program,57.50%,15.10%,27.40%,23.40%,"261,230",72%,28%,$2.81 ,"$397,791,000 "
